,Unnamed: 0,OverallRating,ReviewHeader,Name,Datetime,VerifiedReview,ReviewBody,TypeOfTraveller,SeatType,Route,DateFlown,SeatComfort,CabinStaffService,GroundService,ValueForMoney,Recommended,Aircraft,Food&Beverages,InflightEntertainment,Wifi&Connectivity
1274,1274,3.0,"""Worn seats, cracks in the walls""",K King,13th March 2018,True,"Very full flight on G-BNLP/B747 flying from Miami to London. According to BAsource.com this plane was built in 1990. Obviously, since then it was not refurbished. Felt like a teenager again. Worn seats, cracks in the walls and dirty. Additonally, the IFE did not work. At the same time no reading lights as controlled by inflight entertainment. As the night approached, crew turned off reading lights and cabin lights. No IFE and no book reading possible. Crew were young and friendly, but obviously not experienced. Took 2.5 hours until we had our meal after take-off - they skipped our last four rows. Only after inquiring we got a tray. On arrival, new contractor at Terminal 3 and no jetbridge driver available. Needed to wait 20 minutes until someone arrived. Overall, poor experience with British Airways. They used to be good, but they try to be low-cost and charge legacy carrier prices. Will not work. To fly, to serve is no more adequate as their slogan.",Business,Economy Class,Miami to London,March 2018,2.0,3.0,3.0,2.0,no,Boeing 747-400,3.0,1.0,1.0
2943,2943,2.0,British Airways customer review,George Ling,1st June 2015,False,Flew to Tampa from Gatwick on the 12/5/15 return flight on the 25/5/15. Had flown with BA on several occasions to Mauritius. Can't believe despite the number of complaints BA received nothing has changed regarding the food the service. Admittedly some of crew are good but some of them makes you wonder why did they choose such career. BA seriously need to review the customer care they provide. Dinner overcooked frozen rolls with a cereal bar for breakfast - really tasted better food on cheaper airline. Come on BA listen to your customer and improve your service. Very disappointed with BA.,,Economy Class,,,2.0,1.0,,2.0,no,,1.0,3.0,
1691,1691,7.0,"""for once I had the meal""",Clive Drake,27th April 2017,False,"Pisa to London Gatwick. Started return flight in the shared lounge. All very pleasant and not busy for once. Walked the tarmac to the plane as BA are too mean to pay for a skybridge anymore. Plane fairly new and a lot better than the old crate we flew out in. Took off on time. We had the front row of the business class. For once I had the meal - as it looked nice. It was a salmon salad - and I have to say it was very good indeed. My wife had a hot cheese sandwich which she said was ok. Champagne was served from the bottle, it was nice. We landed on time and closer to the terminal. Not bad for BA for once.",Couple Leisure,Business Class,Pisa to Gatwick,April 2017,2.0,4.0,2.0,2.0,no,A320,4.0,,
124,124,7.0,"""Economy class seating was truly dreadful""",Richard Hodges,20th June 2023,True,"Travelled to Heathrow to Kalamata and return journey 11 days later. World Traveller (aka Economy) Class. Both flights departed on time. Return flight landed early - BUT - we then had a 1 1/4 hour wait for the baggage to be offloaded which rather ruined the journey home as we then caught a motorway closure. Flights OK - FA's (particularly on return flight) pleasant enough. But, as usual, Economy class seating was truly dreadful - no legroom at all. No better in Club class either - only the middle seat left free. Marked down because of this. Can only recommend if you are not tall.",Couple Leisure,Economy Class,London Heathrow to Kalamata,June 2023,1.0,4.0,3.0,3.0,yes,Boeing 737,3.0,,
813,813,9.0,"""made memorable by air hostess""",Peter Saunders,1st August 2019,False,Buenos Aires to London Heathrow. My wife and I flew back from Argentina on my birthday and the trip was made memorable by an air hostess (Amelia) who gave great service to everyone with her friendly professional manner. On finding out it was my birthday she came back with a complimentary drink and personal birthday card. The trip itself left on time and arrived in London early. The aircraft was quite old but we found the seats relatively comfortable. The entertainment is below standard especially the size of the screen .,Couple Leisure,Economy Class,Buenos Aires to London Heathrow,July 2019,3.0,5.0,4.0,4.0,yes,Boeing 777,4.0,2.0,
2415,2415,8.0,"""clean new leather seats""",R Brown,12th February 2016,False,"Milan Linate to London Heathrow on December the 6th. Flight arrived at Terminal 5 20 minutes early. Polite and smiling cabin crew. As meal option, being late afternoon we received a sandwich and small bread with raisins, with complimentary drinks. The aircraft interior in very good condition with clean new leather seats and the new lighting that was left on a blue light mood, same for the washrooms with the nice touch given to floor reproducing a parquet. The experience with the ground staff at Linate, left something to be desired as the staff members seemed quite annoyed with their job and not so helpful; once we checked our bags, they didn't give us no further information about where are located the security control nor about the gate to follow.  T5 staff very friendly and helpful. T5 was very clean but a bit too crowded. Fast and efficient baggage reclaim.",Solo Leisure,Economy Class,MXP to LHR,December 2015,4.0,4.0,3.0,4.0,yes,A320,4.0,,
2249,2249,8.0,"""a thoroughly pleasant flight""",Andy Magowan,27th May 2016,False,"This was a flight from Gatwick to Bermuda on a 777 with British Airways. The aircraft was clean and reasonably comfortable, and the cabin crew were friendly and attentive. I am 6ft tall and normally have problems with the leg room offered in economy (Aer Lingus, I'm talking about you) but there was ample leg room. Indeed on walking through premium economy and club world on exiting the aircraft I didn't notice a big difference in leg room. I haven't flown BA for quite some years and had vague memories of the inflight meals being particularly shoddy. Not this time though. My meal was reasonably nice (chicken korma) and my fiancée had no complaints either with her pasta dish. The crew were round regularly with complementary soft drinks as well as snacks and glasses of water or pure orange. The IFE had a good selection, though one gripe is the positioning of the controls. There is a small controller built in to the top of the arm rest. This controller controls the IFE as well as your reading light and call button. More than once I accidentally pressed the light and the call button with my elbow while shifting position. A small gripe but it was quite annoying. Another gripe is the adverts you have to sit through when starting to watch a new selection. I was on continental and Virgin a couple of years ago and don't believe I had to sit through adverts before watching a movie or tv programme. Overall, aside from the small IFE issues, a thoroughly pleasant flight.",Couple Leisure,Economy Class,LGW to BDA,May 2016,4.0,4.0,4.0,4.0,yes,Boeing 777,4.0,4.0,
1091,1091,6.0,"""Staff very cheerful""",m Leeson,14th September 2018,True,"London Heathrow to New York JFK. The First Wing at Terminal 5 was rubbish tonight, 20 or so deep and it’s really the only decent part of BA’s ground operation. Flight left late due to repairs then the usual wait for a tow in at Kennedy made us overall late. Staff very cheerful. This route gets decent catering normally but only 3 main options and the Indian chicken was very bland.",Business,Business Class,London Heathrow to New York JFK,September 2018,3.0,4.0,1.0,3.0,no,Boeing 747-400,2.0,3.0,5.0
164,164,5.0,"""premium price for very average service""",G Jones,28th April 2023,False,"Regarding the aircraft and seat: The business class seats on this flight were pretty good. All were of the suite type, where every seat has its own booth with sliding door for extra privacy. The downside to this is that if you are travelling as a couple, its quite difficult to interact. There is ample storage and USB charging ports. The seat is pretty comfortable. As someone who finds it very difficult to sleep on flights, this was one of the only times I've been able to get a few minutes sleep here and there. The amenities provided are pretty average when compared to other airlines. The leather toiletry bag was quite nice though. No slippers, only a pair of socks. The restrooms on the flight are very small, and don't provide much in the way of toiletries compared to other airlines. No free Wi-Fi in Business Class is not acceptable. Another example of BA's penny pinching in recent years. Regarding the staff and customer service: Poor. Inattentive. Beyond meal times there was offer of water during the flight. I had to go and find an attendant and ask. There was also no offer of any snacks. Rude at times. My partner asked for a fork to be replaced as the one provided was quite clearly dirty. The attendant was incredibly rude in response. This left us shocked. Different customers seem to receive a different quality of service. A customer behind me was repeatedly greeted politely by name and asked how they were, whether they needed anything etc. whereas my partner and I were not afforded the same level of personal service. This is disappointing as we paid the same price for the tickets so expect the same level of service. The food was pretty bad. I had risotto while my partner had chicken. Both were extremely over cooked and the rice looked like porridge. The vegetables were discoloured and flavourless. The bread was nice though. The breakfast wasn't much better. Summary: BA has become the Ryanair of long haul. The customer service is way below what I would expect for a premium airline in a premium seat. You pay a premium price for a very average service. If there are other options available I would choose them over BA these days.",Couple Leisure,Business Class,Singapore to London,April 2023,4.0,2.0,3.0,1.0,no,Boeing 787,1.0,5.0,1.0
3208,3208,5.0,British Airways customer review,M Lomax,11th January 2015,False,We flew from Manchester to LHR to YCC and return over the Christmas period on the Dreamliner. The only comfortable section of the journey was the short trip to and from London. The Dreamliner is narrow and uncomfortable. We had read the reviews and were hopeful it would be better than the reviews. The 3-3-3 seating is far too cramped with narrow seats the leg room was just about acceptable. We sat in the back row of the front cabin of economy by choice as it reduced the risk of being kicked from behind. It was a good choice but pick the side without rest rooms behind you as the toilets are very noisy and busy. The food was typical air line food. The crew were variable. On the outward journey the crew were great but on the return less pleasant. The lights were dimmed late in the flight and the crew did not use the variable lighting to gradually light the cabin and just flicked the switch. We are returning to Canada in a few months but we will not be using BA despite my husbands Executive Club membership. BA are still great for short haul but they need to rethink the Dreamliner experience.,,Economy Class,,,2.0,3.0,,2.0,no,,2.0,5.0,
3440,3440,8.0,British Airways customer review,J Wallace,9th September 2014,False,LHR - IST. T5 efficient as usual no queues at check in or security. Proceeded to the lounge where we relaxed and watched planes take off with glass of champagne. Boarded on time cabin crew friendly food was excellent and of course more champagne! The only thing that BA need to do (which I believe they are). Is to retire these old aircraft. The overall product is excellent but I think the cabin crew are let down by the ageing planes. (IFE not personal to you etc).,,Business Class,,,4.0,5.0,,4.0,yes,,5.0,3.0,
3188,3188,10.0,British Airways customer review,Simon Prestcote,19th January 2015,False,Return trip (LHR to JFK) in Business class. Excellent trip. We were celebrating my wife's birthday on the way out and the staff were outstanding. Professional attentive but also able to have a laugh with customers. The food was excellent and the wine selection very good as well. Lounge at Heathrow was also very good (T5 is a pleasure to use). Return (overnight) flight also very good - efficient staff and seats comfortable enough to get some sleep.,,Business Class,,,5.0,5.0,,5.0,yes,,5.0,4.0,
3200,3200,8.0,British Airways customer review,A Singh,11th January 2015,False,Los Angeles - Heathrow - Los Angeles over the holidays. Club world is a perfectly fine business product. Staff on both legs were very good getting the job done in a polite and friendly way. Food again is pretty good and benefits from covering the basics well and not being overly fussy. Portion sizes not huge but I don't need the calories anyway. Plenty of drinks offered. An unexpected nice touch was when during the outbound night flight as the only passenger awake a crew member popped her head over asked if I was ok and if I would like a hot chocolate - and then went and made one. In terms of product this is not a million miles away from United business (both even have backwards-facing seats). However the BA cabin crew are in a class of their own and it feels like they know it which translates in to good service. United's intercontinental crews are a somewhat more eclectic group whose get-up-and-go appears to have got-up-and-gone. Just like with the 747 the upstairs on the A380 has side storage which is useful. The upstairs front section bathrooms are also huge (and from the front section you can go up and down the stairs if that tickles your fancy). But downstairs is light and roomy. On return on Dec 29 I was delayed at the gate at Heathrow as staff fussed over various 'company' passengers that needed to be accommodated. These company passengers - flight crew heading off on vacation - then unluckily sat next to me in Club and behaved appallingly for 11 hours - drinking champagne constantly loudly talking all night and demanding a running commentary on the ins-and-outs of working the A380 from every crew member that passed. They acted like children who had never been on a plane before - and their taking 'selfies' (that included me in the background!) all flight was mildly vexing. Upshot? As long as BA doesn't stiff you by putting its staff on freebie upgrades next to you you'll enjoy club world on the A380.,,Business Class,,,4.0,5.0,,5.0,yes,,4.0,4.0,
1225,1225,8.0,"""crew were excellent""",Robert Watson,28th April 2018,True,"Madrid to London. Credit where it's due. Flew club Europe and the crew were excellent. Friendly, attentive and professional. The food was a good standard. The B767 has a dedicated business class cabin with larger seats. Think they will be phased out this year but a good example of good service.",Business,Business Class,Madrid to London,April 2018,4.0,5.0,4.0,3.0,yes,Boeing 767,4.0,,
2349,2349,7.0,"""food served has declined""",Terry Stevens,23rd March 2016,False,"Abu Dhabi to Heathrow. Seating narrow and uncomfortable but seems to be the norm with this aircraft with most airlines. Cabin crew excellent, but when they move friends or British Airways employees from Economy to Premium Economy or Business Class after boarding is complete they should do so discreetly without fare paying passengers noticing. The food served has declined in quality and quantity. The English breakfast used to be one of the best meals in Economy on BA. Now there is no bacon in it but rubbery mushrooms and the scrambled egg equally rubbery. Truly awful meal. Flight on time and entertainment system getting better. At least the screens on this newer aircraft are bigger than those on the ancient 747's still operated by British Airways.",Solo Leisure,Economy Class,AUH to LHR,March 2016,2.0,5.0,4.0,4.0,yes,Boeing 787,1.0,4.0,
542,542,9.0,"""a thoroughly reassuring, coming out of COVID, experience""",David Ellis,30th May 2021,True,"After sixteen months of being grounded by COVID, it felt almost surreal to be back in T5, heading for what to us was essential summer sun in Greece. T5 was blissfully quiet, with no queues at check-in or security, and even the Galleries South lounge was less frenetic than usual, despite families with kids similarly desperate to escape Boris Johnson’s bully boy attitude. Ordering food and beverages from one’s table seems something worth continuing, avoiding all the wastage of endlessly replenished buffets. The flights was very quiet, with just 30 pax on board, 9 of whom were in Club Europe. Boarding by row also seemed a welcome improvement on the previous ‘groups’. Service on the flight was good and the food was of the usual Do&Co quality. Landing was ahead of schedule and we were through passport control in just a few minutes after a quick check of vaccination certificates and the passenger locator form. Overall, a thoroughly reassuring, coming out of COVID, experience.",Couple Leisure,Business Class,London Heathrow to Preveza,May 2021,4.0,4.0,5.0,4.0,yes,A320,4.0,,
1817,1817,4.0,"""Short-sighted management or what?""",M Kemp,18th February 2017,False,"This a tale of two airlines and their individual approaches to Business Class passengers. We were flying to Mauritius on holiday and I felt, given the flying time, we should spoil ourselves and fly up-front with all the 'comparative' comfort of Business Class. The British Airways flight itself was okay, the crew friendly and the cabin worked fine. However, I was totally shocked by the standards of catering in the Gatwick Lounge (a small issue for some perhaps, but for me, it's all part of the Business Class experience). To illustrate my point, I attach a shot of what Walsh's policy of putting shareholders first actually means for fare-paying passengers. With the very confusing layout that greets one in the South Terminal now that BA have moved in, the 'serve yourself' check-in (you even label your own bags!). I was pretty frustrated by the time we actually found the 'Lounge'. But then to be greeted with this, was totally unacceptable. So, Willie, rather than screwing down costs for the benefit of your shareholders, this sort of display of overt cost-cutting has now lost you revenue for the future. Short-sighted management or what? Take a lesson from Emirates who I decided to fly home with, so disgusted was I over our experience. They put passengers first!",Couple Leisure,Business Class,London Gatwick to Mauritius ,February 2017,4.0,3.0,2.0,3.0,no,Boeing 777,4.0,4.0,
2322,2322,10.0,"""service and food were very good""",Alistair Baker,12th April 2016,False,"To our amazement, we went to board our flight back to London after our holiday in the West Coast of the USA and found we were upgraded from Economy to Club World. It was especially nice for my fiancée who has only flown economy previously. The service and food were very good and the flat-bed seat made the flight much more pleasant. The A380 is a lovely aircraft because it is so quiet and looks very smart inside.",Couple Leisure,Business Class,SFO to LHR,March 2016,5.0,5.0,5.0,5.0,yes,A380-800,5.0,5.0,
346,346,1.0,"""they have no idea where our bags are""",J Gandre,6th July 2022,False,"Today, my husband and a friend flew from Dublin to London City Airport. All apparently went well from check-in through the flight. After that, the ineptitude and lack of systems seemed to be in full bloom. We waited and waited for our bags to come off the baggage carriage, but neither my husband's nor mine came. I found a BA service person to ""help"" me. He told me that there were 60 bags checked and 59 on the plane.  I thought, one of our bags made it. Then, two other customers from the same flight were complaining to someone else that they, too, had not gotten their bags. So, I assumed the 59 out of 60 was some kind of interesting fiction. I was then told to file a claim on BA.com which we did. At this time, about 10 hours after our flight landed, the system says they have no idea where our bags are! Now, I've had bags not get on flights before - less and less as airlines have tracked their bags fastidiously (I usually fly United Airlines which tracks your bag at every stage of the flight with updated info - e.g., ""Your bag was loaded onto the plane""; ""Your bag is on its way to baggage claim""). BA doesn't seem to have anything like this. In this case, again, it appears BA cannot even locate the bag. I hadn't flown BA in many years and with experience I would never book them again.",Couple Leisure,Business Class,Dublin to London City,July 2022,4.0,4.0,1.0,1.0,no,Embraer 190,3.0,,
188,188,9.0,"""a very solid experience""",C Down,31st March 2023,True,"Boarding at Mumbai was chaotic and badly organised. Once on board the crew announcements were professional, relaxed and informative in typical BA style. The seat was quite comfortable. It was a refurbished aircraft and the padding and materials are quite good. I was lucky that the middle seat was empty so I didn’t suffer from the new narrow seat which I think would have made it a lot less comfortable. The IFE is excellent, responsive and good quality. There is an enormous selection of TV and movies and a good number of games. WIFI is also very good not quite Netflix quality but still reasonable and I don’t think £17.99 for full flight is bad value. You can pay less if you just want short term simple messaging. Cabin crew were very good. Friendly and efficient. Catering was reasonable although on a near 10hr flight, the small (but tasty) pastry for the second meal service wasn’t really enough. Landing and processing at Heathrow was astonishingly quick - it felt like it was 3am, even though it was 6:30pm! No queues or waiting at all. Even the baggage was super quick at coming through. Overall a very solid experience in economy. Significantly better than it used to be.",Solo Leisure,Economy Class,Mumbai to London,March 2023,4.0,5.0,4.0,5.0,yes,Boeing 777-200,3.0,5.0,5.0
1143,1143,6.0,"""seats weren't wide enough""",Mike O'Donovan,19th July 2018,True,"Aberdeen to Boston via London Heathrow. I found the seats weren't wide enough and leg room was restricted. On the way back to London the person in front of me put the seat back as well and this severely decreased and room I had to move. Also the narrower seats meant that I really had to avoid taking up both arm rests. Otherwise they were good flights with, slightly odd choices, but decent food. Extensive entertainment options/variety as well. ",Business,Economy Class,Aberdeen to Boston via London,July 2018,2.0,4.0,4.0,3.0,yes,,4.0,5.0,4.0
48,48,1.0,"""not a single feedback from British Airways""",Selcuk Benter,20th September 2023,False,"My initial flight was cancelled 8 hours prior the flight. Then I was automatically rescheduled for next day. Next day, the flight was delayed leaving Hamburg and missed my connecting flight to Las Vegas. Me and several other passengers spent the night in London. British Airways provided us with vouchers but the transfer bus dropped us at the wrong hotel (closest to our hotel) and told us that we can walk there if we want to. As a result, I lost two nights hotel reservations that I made in las Vegas. I opened a claim and provided all receipts to British Airways to get refund of my hotel reservations, but over 5 weeks now, not a single feedback from British Airways. I will avoid all flights with them in future, and will share this story.",Business,Premium Economy,Hamburg to Las Vegas via London,August 2023,2.0,2.0,1.0,1.0,no,A350,2.0,3.0,
1945,1945,9.0,"""manage a trolley service """,C Fordham,8th December 2016,False,Heathrow to Manchester. Short hop of just 35mins in the air unfortunately delayed by about the same amount of time due to someone not boarding. Done this flight a number of times and kudos to the fact they manage to get a trolley service in before landing. Alcoholic drink is free which is something considering this isn't the case even on 6hr trans-American flights.,Solo Leisure,Economy Class,LHR to MAN,November 2016,4.0,5.0,4.0,4.0,yes,,4.0,,
3261,3261,4.0,British Airways customer review,Christine Coombes,4th December 2014,False,"I feel as though I am the only traveller in the world who has not enjoyed the experience on the Dreamliner. I've travelled with BA for the past 30 years. When on business I travel business class and when on personal travel it varies between economy and club - depending on distance and budget. This year I travelled to Toronto on vacation and were assigned economy seats on the new Dreamliner. We chose not to upgrade seats as the Dreamliner blurb gushed about seat space. How foolish we were. At just 5'7"" and 5'4"" respectively we are not in any way shape or form giants. But the absolute honest truth is we were squashed in tight. The restricted space was possibly not so much the leg room but the seat width - but letting the table down for food/drink was snug. Outside of the seat space issue everything else was superb. Inflight entertainment equipment was familiar easy to use. Boarding in UK and Toronto was smooth and helpful ground staff were always visible and proactive in offering and helping passengers. Entertainment itself was varied and instantly accessed. Food was reasonable. Drinks were available with meals and upon request. Crew were unfailingly polite professional and impeccable.",,Economy Class,,,1.0,5.0,,4.0,yes,,5.0,5.0,
2347,2347,1.0,"""BA.com been truly appalling""",Joanne Le Bon,24th March 2016,False,"We have flown with British Airways over 100 times, usually in business class. On our current ski trip we paid a substantial premium to fly one way in First and home from London to Denver in Business class. Yesterday our flight was cancelled due to snow. This of course is not their fault. After spending nearly an hour on hold to their “Gold Card” premium service line we were told that all the flights are full so they cannot help. We are “not authorised to help with this on the telephone, you have to drive to the airport and ask (“beg”) the airport staff to consider using a different carrier to help get you home” - for a long planned family Easter holiday. The true test of a company is not when things are going well, it is what they do when there is a problem. BA.com have been truly appalling. The email cancelling our flight did not even include a phone number to call for rebooking.",Couple Leisure,First Class,LHR to DEN,March 2016,3.0,4.0,4.0,2.0,no,Boeing 747-400,3.0,3.0,1.0
1310,1310,8.0,"""good flight and service""",Jonathan Rodden,29th January 2018,True,"Flew on BA 1414 from London Heathrow to Belfast City Airport, January 16th. Check in was fast and efficient as was the boarding process. Breakfast offered on board was good and tasty. We arrived in Belfast 5 minutes ahead of schedule and luggage was out within 10 minutes. Overall good flight and service.",Solo Leisure,Business Class,London Heathrow to Belfast,January 2018,5.0,4.0,4.0,4.0,yes,A320,4.0,,
2004,2004,3.0,"""was one bad trip too many""",P Cleary,10th November 2016,False,"London Heathrow to Bangkok with British Airways, and they operate some of their oldest planes on this route so the screen is only 6"" with square lines across the screen. The food is very poor on quality compared to other airlines covering the same route, only two offerings of water on the outbound flight. Usually fly this route in business class and British Airways offering is far inferior product on this route also. Despite being Silver member will be voting with my feet and using other airlines when available on all future travels. This was one bad trip too many with British Airways.",Solo Leisure,Premium Economy,LHR to BKK,November 2016,2.0,2.0,2.0,2.0,no,Boeing 777-200,1.0,1.0,1.0
2308,2308,4.0,"""very quick and efficient""",David Taylor,20th April 2016,False,"London Heathrow - Nairobi Kenya. Boeing 777 not new but clean. Departed on time. Food was very average and was served at 11.30 am as a ""lunch"" - bland and uninteresting. Cabin crew very quick and efficient but then ran away for most of the flight so that they could get the service over as quickly as possible. An hour before landing they reappeared again with cardboard boxes with a chicken sandwich, a drink and that was it. You sometimes wonder whether British Airways check the quality of the offers made by other airlines or whether it is just customer loyalty that keeps them flying. Nairobi arrival was a nightmare as my electronic visa had a page not dowloaded and this resulted in an extra hour and a half with immigration before it was sorted out.
",Business,Economy Class,LHR to NBO,April 2016,3.0,2.0,2.0,2.0,no,Boeing 777,2.0,2.0,2.0
132,132,1.0,"""never fly British Airway ever again""",George W Edmonds ,11th June 2023,True,The customer service is ugly. Tried calling two weeks ago but still had problems with flight. All I get is someone in India. I thought i was flying Iberia once I looked close at ticket it was British Airways. Will never fly British Airway ever again.,Solo Leisure,Economy Class,San Francisco to London,June 2023,,,1.0,1.0,no,,,,
2499,2499,7.0,"""food was decent""",Javier Bacallado ,16th December 2015,False,"MAD-SYD VIA LHR with British Airways. Overall good experience. All flights on time. Transfer in LHR T5 very fast and easy. For the long-haul flights: comfortable seats, personal IFE, lots of choices availeable. Food was decent for economy. The only downside: Flight attendants failed to give a good service on all 4 sectors. Not one staff member gave a service with a smile.",Solo Leisure,Economy Class,Madrid to Sydney via LHR,December 2015,4.0,1.0,4.0,4.0,yes,Boeing 777-300,3.0,4.0,
360,360,4.0,"""food choice and quality was poor""",Simon Fowler,23rd June 2022,True,"This a new route which BA introduced at the beginning of June after several years of Covid related delays. The business class experience was I fear typical of the nickel & dime policies introduced by the airline over the past decade. Plus - helpful and friendly FA. Minuses - The cabin was fairly cramped with six seats across. Each pod had surprisingly little room with only very limited storage space. It was hard to adjust the seat, particularly getting it to lie flat - even the FA found it difficult. The in-flight entertainment was very limited with a poor choice of films, TV programmes and music. The food choice and quality was poor - one of the three mains was unavailable and my pea and mushroom risotto was almost inedible: the cheese selection was also poor. I don't know what the business class offerings from BA's rivals flying similar routes are like, but the experience does not match up to that provided by Singapore Airlines on their flights to the Far East and Australasia.",Couple Leisure,Business Class,Portland to London,June 2022,2.0,4.0,4.0,2.0,no,,2.0,2.0,
2290,2290,9.0,"""reminded me of the old BA""",Mike Palmer,4th May 2016,False,"Flew Toronto to London in British Airways club world on avios and companion voucher. Prompt check in at Pearson with friendly staff. The club lounge is well run with dinner served as this is a sleeper service. A good choice of food though though the wine list remains unimaginative. The lounge is too small when busy. Additional toilets are needed - too few with queues before the flight was called. Friendly staff on the flight with lights out after takeoff and a tray service offered. The dessert and cheese and drinks was perfect before an ok sleep. The flight is too short for a decent sleep and the club world layout is now dated and in a real need of a re-think. Once cutting edge, it's not fun being stepped over by a stranger and there is a real lack of privacy. Breakfast was ok with the hot muffin being a confused offereing. Returning from Heathrow 10 days later started with a very slow check in process - unusual for T5 with agents blaming cancellations from the previous day spilling over. Went straight to the club lounge on the B gates which is a hidden gem - quiet, well stocked, few children and in good condition. Pleasantly surprised to be upgraded to first on arrival in the lounge . A superb flight with BA first at it's best. Decent vintage champagne before take off, friendly, engaging and professional crew made the experience really first class - impressive given the cabin was full. Great Rose Champagne, an excellent wine list - especially the reds, and well cooked food. A movie, afternoon tea and we arrived head of time into Toronto. The bags almost beat us off. BA can be variable in service - especially in Club World and some of the cost cutting in recent years - though these return flights reminded me of the old BA and how good it can be at its best.",Couple Leisure,First Class,YYZ to LHR,March 2016,3.0,4.0,5.0,5.0,yes,Boeing 777-200,5.0,4.0,
1071,1071,2.0,"""BA provides buy onboard""",Lukas Steinberger,17th October 2018,True,"London to Vienna. I was shocked that BA provides buy onboard short haul flights - no free water, coffee or tea. I tried to buy something but my Credit Card wouldn't work, and I could not pay with cash.",Business,Economy Class,London to Vienna,October 2018,2.0,3.0,2.0,2.0,no,A320,,,
342,342,10.0,"""wonderful BA representative""",Matthew Sheedy,12th July 2022,False,Flight delayed slightly due to luggage conveyor breaking down. Luggage never made it to Toronto and we filed a lost baggage report. Within 24 hours our luggage arrived in Toronto and a wonderful BA representative went down into the baggage loading area to retrieve it for me. Would definitely give BA a 5 star rating and have them again.,Couple Leisure,Business Class,London to Toronto,July 2022,5.0,5.0,5.0,5.0,yes,,5.0,5.0,
2764,2764,3.0,British Airways customer review,Neil Oakshott,28th August 2015,False,"The sad decline of our national flag carrier seems to be continuing unabated. I fly the LHR-PHX-LHR route on a monthly basis and although I've spoken to colleagues about changing carrier, as BA offers the only direct route into Phoenix I have stuck with them. But where to begin? The 747-400s used are ageing, shabby and tired, if they were your old horse they'd have been taken to the knacker's yard years ago. Throughout the aircraft the seating is uncomfortable, space cramped and onboard facilities lacking and limited. The AVOD in economy and the premium variant is restarted with almost comical regularity, the screens are smaller than most of us have fitted in our car so you are either squinting or just unable to see the movie you are trying to watch. When the person in front reclines the screen is almost forced into your face such is the limited legroom. Catering is just awful in the economy cabins and only marginally better in business, although I see the airline is getting around this now by allowing the the privilege of paying for a meal upgrade. One word of caution here - if you are upgraded your meal stays behind despite you paying for it. All in all BA is slipping against the competition and delays are common place as to be expected, LHR lounges are in need of a complete makeover and it's a rarity to get more than a couple of cabin staff who seem happy in their work. I've one more BA flight to go and then it's adieu from me, but then given how they so sparingly issue tier points now it's not like I'm going to miss them.",Business,Economy Class,LHR to PHX,August 2015,1.0,2.0,3.0,1.0,no,Boeing 747-400,1.0,1.0,
2689,2689,4.0,"""pre-boarding not a premium product""",Raymond Dowling,30th September 2015,False,"Sharm el Sheikh to Gatwick. I checked in at British Airways business class counter and the agent was unprofessional and unwelcoming. All my questions involved him having to ask a colleague in the adjacent economy class check-in. I asked staff where the lounge access was located and was abruptly told there was No lounge access - despite BA stating on their website that business class passengers have access to the Royal Jordanian lounge (which I saw no sign of) so I had to use the general and expensive SSH airport facilities. Boarding was absolute mayhem with no separate call for business class or Oneworld members to board first. So I jumped on the bus to be called off and told the check-in agent had booked me in economy class row 8D, which was listed as business class at on-line check-in. After a wait of 10 minutes, a new boarding bass was issued for seat 1C, and the aircraft bus had to be called back to pick me up. Onboard things did improve and chatted with friendly crew. However the pre-boarding did not represent a premium product.",Solo Leisure,Business Class,SSH to LGW,September 2015,1.0,5.0,1.0,3.0,yes,A320,4.0,,
1340,1340,1.0,"""don’t waste your money flying BA""",R Dawson,26th December 2017,True,"London to New York. Aircraft was very dated, IFE poor, meal service average, no snacks, poor drinks service, crew exceedingly unfriendly and customer service after the flight abysmal. Seats on these aircraft which have not been refreshed are beyond threadbare and we’re outdated a decade ago. The meal service has taken a severe cut in recent years. To top everything off the crew couldn’t even provide a sincere smile or feign the slightest interest - embarrassing! When you tell BA about a negative experience they’ll waffle on about how great they are but fail to resolve the complaint - absolute waste of time - don’t waste your money flying BA - I’ve had far more positive experiences on Ryanair.",Couple Leisure,Economy Class,London to New York,November 2017,1.0,1.0,3.0,2.0,no,Boeing 747-400,1.0,2.0,1.0
2934,2934,2.0,British Airways customer review,Tarun Thadani,7th June 2015,False,Worst customer experience on BA flight. I have a confirmed flights for British Airways from Singapore to Sydney for tomorrow. When I tried to check online the system did not allow me to do online check-in. I called the BA contact center in the UK and was shocked with the response received. The person told me that there is a difference between confirmed booking and confirmed seating. Essentially BA wants to sell their seats at a premium. They arm twist the passengers and make lame excuses that although you have confirmed flight bookings it doesn't mean you can fly unless you get the seats allocation. We are travelling as a family but got scattered seats. Very embittered with the overall experience. Will never fly again with British Airways.,,Economy Class,,,1.0,1.0,,1.0,no,,2.0,2.0,
2610,2610,9.0,"""extremely friendly and competent""",Claudio Aliverti,31st October 2015,False,"Late friday night flight out of Heathrow. Late takeoff due to traffic, but flight was smooth and landed right on schedule. Cabin staff were excellent, extremely friendly and competent. Food service was fast and with good quality. Would definitely recommend it for short haul flights, although price was much higher compared to other carriers.",Business,Economy Class,London Heathrow to Milan Malpensa,October 2015,4.0,5.0,4.0,3.0,yes,A321,5.0,,
